id,abilities,name,weight,ThumbnailAltText,weakness,number,height,collectibles_slug,featured,ThumbnailImage,threat_type,slug
17,Shield Dust,Weedle,7.1,Weedle,Fire Flying Psychic Rock,13,12,weedle,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png,bug poison,weedle
18,Shed Skin,Kakuna,22,Kakuna,Fire Flying Psychic Rock,14,24,kakuna,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png,bug poison,kakuna
19,Adaptability,Beedrill,89.3,Beedrill,Fire Flying Psychic Rock,15,55,beedrill,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png,bug poison,beedrill
20,Swarm,Beedrill,65,Beedrill,Fire Flying Psychic Rock,15,39,beedrill,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png,bug poison,beedrill
21,Keen EyeTangled Feet,Pidgey,4,Pidgey,Electric Ice Rock,16,12,pidgey,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png,normal flying,pidgey
22,Keen EyeTangled Feet,Pidgeotto,66.1,Pidgeotto,Electric Ice Rock,17,43,pidgeotto,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png,normal flying,pidgeotto
23,No Guard,Pidgeot,111.3,Pidgeot,Ice Electric Rock,18,87,pidgeot,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png,normal flying,pidgeot
24,Keen EyeTangled Feet,Pidgeot,87.1,Pidgeot,Electric Ice Rock,18,59,pidgeot,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png,normal flying,pidgeot
25,GluttonyHustle,Rattata,8.4,Rattata,Fairy Bug Fighting,19,12,rattata,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png,dark normal,rattata
26,GutsRun Away,Rattata,7.7,Rattata,Fighting,19,12,rattata,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png,normal,rattata
27,GluttonyHustle,Raticate,56.2,Raticate,Fairy Bug Fighting,20,28,raticate,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png,dark normal,raticate
28,GutsRun Away,Raticate,40.8,Raticate,Fighting,20,28,raticate,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png,normal,raticate
29,Keen Eye,Spearow,4.4,Spearow,Electric Ice Rock,21,12,spearow,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png,normal flying,spearow
30,Keen Eye,Fearow,83.8,Fearow,Electric Ice Rock,22,47,fearow,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png,normal flying,fearow
31,IntimidateShed Skin,Ekans,15.2,Ekans,Ground Psychic,23,79,ekans,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png,poison,ekans
32,IntimidateShed Skin,Arbok,143.3,Arbok,Ground Psychic,24,138,arbok,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/024.png,poison,arbok
33,Static,Pikachu,13.2,Pikachu,Ground,25,16,pikachu,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/025.png,electric,pikachu
34,Surge Surfer,Raichu,46.3,Raichu,Ghost Dark Bug Ground,26,28,raichu,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png,electric psychic,raichu
35,Static,Raichu,66.1,Raichu,Ground,26,31,raichu,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/026.png,electric,raichu
36,Snow Cloak,Sandshrew,88.2,Sandshrew,Fire Fighting Ground,27,28,sandshrew,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png,ice steel,sandshrew
37,Sand Veil,Sandshrew,26.5,Sandshrew,Grass Ice Water,27,24,sandshrew,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/027.png,ground,sandshrew
38,Snow Cloak,Sandslash,121.3,Sandslash,Fire Fighting Ground,28,47,sandslash,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png,ice steel,sandslash
39,Sand Veil,Sandslash,65,Sandslash,Grass Ice Water,28,39,sandslash,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/028.png,ground,sandslash
40,Poison PointRivalry,Nidoran♀,15.4,Nidoran♀,Ground Psychic,29,16,nidoran-female,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/029.png,poison,nidoran-female
41,Poison PointRivalry,Nidorina,44.1,Nidorina,Ground Psychic,30,31,nidorina,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/030.png,poison,nidorina
42,Poison PointRivalry,Nidoqueen,132.3,Nidoqueen,Ground Ice Psychic Water,31,51,nidoqueen,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/031.png,poison ground,nidoqueen
43,Poison PointRivalry,Nidoran♂,19.8,Nidoran♂,Ground Psychic,32,20,nidoran-male,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/032.png,poison,nidoran-male
44,Poison PointRivalry,Nidorino,43,Nidorino,Ground Psychic,33,35,nidorino,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/033.png,poison,nidorino
45,Poison PointRivalry,Nidoking,136.7,Nidoking,Ground Ice Psychic Water,34,55,nidoking,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/034.png,poison ground,nidoking
46,Cute CharmMagic Guard,Clefairy,16.5,Clefairy,Steel Poison,35,24,clefairy,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/035.png,fairy,clefairy
47,Cute CharmMagic Guard,Clefable,88.2,Clefable,Steel Poison,36,51,clefable,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/036.png,fairy,clefable
48,Snow Cloak,Vulpix,21.8,Vulpix,Fire Steel Fighting Rock,37,24,vulpix,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png,ice,vulpix
49,Flash Fire,Vulpix,21.8,Vulpix,Ground Rock Water,37,24,vulpix,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/037.png,fire,vulpix
50,Snow Cloak,Ninetales,43.9,Ninetales,Fire Steel Poison Rock,38,43,ninetales,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png,ice fairy,ninetales
51,Flash Fire,Ninetales,43.9,Ninetales,Ground Rock Water,38,43,ninetales,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/038.png,fire,ninetales
52,CompetitiveCute Charm,Jigglypuff,12.1,Jigglypuff,Steel Poison,39,20,jigglypuff,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/039.png,normal fairy,jigglypuff
53,CompetitiveCute Charm,Wigglytuff,26.5,Wigglytuff,Steel Poison,40,39,wigglytuff,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png,normal fairy,wigglytuff
54,Inner Focus,Zubat,16.5,Zubat,Electric Ice Psychic Rock,41,31,zubat,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png,poison flying,zubat
55,Inner Focus,Golbat,121.3,Golbat,Electric Ice Psychic Rock,42,63,golbat,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png,poison flying,golbat
56,Chlorophyll,Oddish,11.9,Oddish,Fire Flying Ice Psychic,43,20,oddish,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png,grass poison,oddish
57,Chlorophyll,Gloom,19,Gloom,Fire Flying Ice Psychic,44,31,gloom,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png,grass poison,gloom
58,Chlorophyll,Vileplume,41,Vileplume,Fire Flying Ice Psychic,45,47,vileplume,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png,grass poison,vileplume
59,Dry SkinEffect Spore,Paras,11.9,Paras,Fire Flying Bug Ice Poison Rock,46,12,paras,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png,bug grass,paras
60,Dry SkinEffect Spore,Parasect,65,Parasect,Fire Flying Bug Ice Poison Rock,47,39,parasect,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png,bug grass,parasect
61,Compound EyesTinted Lens,Venonat,66.1,Venonat,Fire Flying Psychic Rock,48,39,venonat,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png,bug poison,venonat
62,Shield DustTinted Lens,Venomoth,27.6,Venomoth,Fire Flying Psychic Rock,49,59,venomoth,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png,bug poison,venomoth
63,Sand VeilTangling Hair,Diglett,2.2,Diglett,Fire Water Fighting Ground,50,8,diglett,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png,ground steel,diglett
64,Arena TrapSand Veil,Diglett,1.8,Diglett,Grass Ice Water,50,8,diglett,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png,ground,diglett
65,Sand VeilTangling Hair,Dugtrio,146.8,Dugtrio,Fire Water Fighting Ground,51,28,dugtrio,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png,ground steel,dugtrio
66,Arena TrapSand Veil,Dugtrio,73.4,Dugtrio,Grass Ice Water,51,28,dugtrio,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png,ground,dugtrio
67,PickupTechnician,Meowth,9.3,Meowth,Fairy Bug Fighting,52,16,meowth,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png,dark,meowth
68,PickupTechnician,Meowth,9.3,Meowth,Fighting,52,16,meowth,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png,normal,meowth
69,Fur CoatTechnician,Persian,72.8,Persian,Fairy Bug Fighting,53,43,persian,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png,dark,persian
70,LimberTechnician,Persian,70.5,Persian,Fighting,53,39,persian,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png,normal,persian
71,Cloud NineDamp,Psyduck,43.2,Psyduck,Electric Grass,54,31,psyduck,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png,water,psyduck
72,Cloud NineDamp,Golduck,168.9,Golduck,Electric Grass,55,67,golduck,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png,water,golduck
73,Anger PointVital Spirit,Mankey,61.7,Mankey,Flying Psychic Fairy,56,20,mankey,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png,fighting,mankey
74,Anger PointVital Spirit,Primeape,70.5,Primeape,Flying Psychic Fairy,57,39,primeape,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/057.png,fighting,primeape
75,Flash FireIntimidate,Growlithe,41.9,Growlithe,Ground Rock Water,58,28,growlithe,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/058.png,fire,growlithe
76,Flash FireIntimidate,Arcanine,341.7,Arcanine,Ground Rock Water,59,75,arcanine,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/059.png,fire,arcanine
77,DampWater Absorb,Poliwag,27.3,Poliwag,Electric Grass,60,24,poliwag,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/060.png,water,poliwag
78,DampWater Absorb,Poliwhirl,44.1,Poliwhirl,Electric Grass,61,39,poliwhirl,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/061.png,water,poliwhirl
79,DampWater Absorb,Poliwrath,119,Poliwrath,Electric Flying Grass Psychic Fairy,62,51,poliwrath,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/062.png,water fighting,poliwrath
80,Inner FocusSynchronize,Abra,43,Abra,Bug Dark Ghost,63,35,abra,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/063.png,psychic,abra
81,Inner FocusSynchronize,Kadabra,124.6,Kadabra,Bug Dark Ghost,64,51,kadabra,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/064.png,psychic,kadabra
82,Trace,Alakazam,105.8,Alakazam,Ghost Dark Bug,65,47,alakazam,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png,psychic,alakazam
83,Inner FocusSynchronize,Alakazam,105.8,Alakazam,Bug Dark Ghost,65,59,alakazam,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png,psychic,alakazam
84,GutsNo Guard,Machop,43,Machop,Flying Psychic Fairy,66,31,machop,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/066.png,fighting,machop
85,GutsNo Guard,Machoke,155.4,Machoke,Flying Psychic Fairy,67,59,machoke,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/067.png,fighting,machoke
86,GutsNo Guard,Machamp,286.6,Machamp,Flying Psychic Fairy,68,63,machamp,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/068.png,fighting,machamp
87,Chlorophyll,Bellsprout,8.8,Bellsprout,Fire Flying Ice Psychic,69,28,bellsprout,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/069.png,grass poison,bellsprout
88,Chlorophyll,Weepinbell,14.1,Weepinbell,Fire Flying Ice Psychic,70,39,weepinbell,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/070.png,grass poison,weepinbell
89,Chlorophyll,Victreebel,34.2,Victreebel,Fire Flying Ice Psychic,71,67,victreebel,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/071.png,grass poison,victreebel
90,Clear BodyLiquid Ooze,Tentacool,100.3,Tentacool,Electric Ground Psychic,72,35,tentacool,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/072.png,water poison,tentacool
91,Clear BodyLiquid Ooze,Tentacruel,121.3,Tentacruel,Electric Ground Psychic,73,63,tentacruel,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/073.png,water poison,tentacruel
92,Magnet PullSturdy,Geodude,44.8,Geodude,Water Grass Fighting Ground,74,16,geodude,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png,rock electric,geodude
93,Rock HeadSturdy,Geodude,44.1,Geodude,Grass Water Fighting Ground Ice Steel,74,16,geodude,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png,rock ground,geodude
94,Magnet PullSturdy,Graveler,242.5,Graveler,Water Grass Fighting Ground,75,39,graveler,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png,rock electric,graveler
95,Rock HeadSturdy,Graveler,231.5,Graveler,Grass Water Fighting Ground Ice Steel,75,39,graveler,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png,rock ground,graveler
96,Magnet PullSturdy,Golem,696.7,Golem,Water Grass Fighting Ground,76,67,golem,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png,rock electric,golem
97,Rock HeadSturdy,Golem,661.4,Golem,Grass Water Fighting Ground Ice Steel,76,55,golem,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png,rock ground,golem
98,Flash FireRun Away,Ponyta,66.1,Ponyta,Ground Rock Water,77,39,ponyta,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/077.png,fire,ponyta
99,Flash FireRun Away,Rapidash,209.4,Rapidash,Ground Rock Water,78,67,rapidash,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/078.png,fire,rapidash
100,ObliviousOwn Tempo,Slowpoke,79.4,Slowpoke,Bug Dark Electric Ghost Grass,79,47,slowpoke,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/079.png,water psychic,slowpoke
101,Shell Armor,Slowbro,264.6,Slowbro,Ghost Dark Grass Electric Bug,80,79,slowbro,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png,water psychic,slowbro
102,ObliviousOwn Tempo,Slowbro,173.1,Slowbro,Bug Dark Electric Ghost Grass,80,63,slowbro,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png,water psychic,slowbro
103,Magnet PullSturdy,Magnemite,13.2,Magnemite,Ground Fire Fighting,81,12,magnemite,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/081.png,electric steel,magnemite
104,Magnet PullSturdy,Magneton,132.3,Magneton,Ground Fire Fighting,82,39,magneton,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/082.png,electric steel,magneton
105,Inner FocusKeen Eye,Farfetch'd,33.1,Farfetch'd,Electric Ice Rock,83,31,farfetchd,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/083.png,normal flying,farfetchd
106,Early BirdRun Away,Doduo,86.4,Doduo,Electric Ice Rock,84,55,doduo,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/084.png,normal flying,doduo
107,Early BirdRun Away,Dodrio,187.8,Dodrio,Electric Ice Rock,85,71,dodrio,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/085.png,normal flying,dodrio
108,HydrationThick Fat,Seel,198.4,Seel,Electric Grass,86,43,seel,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/086.png,water,seel
109,HydrationThick Fat,Dewgong,264.6,Dewgong,Electric Fighting Grass Rock,87,67,dewgong,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/087.png,water ice,dewgong
110,GluttonyPoison Touch,Grimer,92.6,Grimer,Ground,88,28,grimer,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png,poison dark,grimer
111,StenchSticky Hold,Grimer,66.1,Grimer,Ground Psychic,88,35,grimer,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png,poison,grimer
112,GluttonyPoison Touch,Muk,114.6,Muk,Ground,89,39,muk,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png,poison dark,muk
113,StenchSticky Hold,Muk,66.1,Muk,Ground Psychic,89,47,muk,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png,poison,muk
114,Shell ArmorSkill Link,Shellder,8.8,Shellder,Electric Grass,90,12,shellder,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/090.png,water,shellder
115,Shell ArmorSkill Link,Cloyster,292.1,Cloyster,Electric Fighting Grass Rock,91,59,cloyster,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/091.png,water ice,cloyster
116,Levitate,Gastly,0.2,Gastly,Dark Ghost Psychic,92,51,gastly,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/092.png,ghost poison,gastly
117,Levitate,Haunter,0.2,Haunter,Dark Ghost Psychic,93,63,haunter,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/093.png,ghost poison,haunter
118,Shadow Tag,Gengar,89.3,Gengar,Ghost Dark Psychic Ground,94,55,gengar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png,ghost poison,gengar
119,Levitate,Gengar,89.3,Gengar,Dark Ghost Psychic,94,59,gengar,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png,ghost poison,gengar
120,Rock HeadSturdy,Onix,463,Onix,Grass Water Fighting Ground Ice Steel,95,346,onix,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/095.png,rock ground,onix
121,ForewarnInsomnia,Drowzee,71.4,Drowzee,Bug Dark Ghost,96,39,drowzee,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/096.png,psychic,drowzee
122,ForewarnInsomnia,Hypno,166.7,Hypno,Bug Dark Ghost,97,63,hypno,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/097.png,psychic,hypno
123,Hyper CutterShell Armor,Krabby,14.3,Krabby,Electric Grass,98,16,krabby,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/098.png,water,krabby
124,Hyper CutterShell Armor,Kingler,132.3,Kingler,Electric Grass,99,51,kingler,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/099.png,water,kingler
125,SoundproofStatic,Voltorb,22.9,Voltorb,Ground,100,20,voltorb,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/100.png,electric,voltorb
126,SoundproofStatic,Electrode,146.8,Electrode,Ground,101,47,electrode,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/101.png,electric,electrode
127,Chlorophyll,Exeggcute,5.5,Exeggcute,Bug Dark Fire Flying Ghost Ice Poison,102,16,exeggcute,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/102.png,grass psychic,exeggcute
128,Frisk,Exeggutor,916.2,Exeggutor,Flying Ice Dragon Poison Fairy Bug,103,429,exeggutor,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png,grass dragon,exeggutor
129,Chlorophyll,Exeggutor,264.6,Exeggutor,Bug Dark Fire Flying Ghost Ice Poison,103,79,exeggutor,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png,grass psychic,exeggutor
130,Lightning RodRock Head,Cubone,14.3,Cubone,Grass Ice Water,104,16,cubone,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/104.png,ground,cubone
131,Cursed BodyLightning Rod,Marowak,75,Marowak,Water Ghost Ground Dark Rock,105,39,marowak,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png,fire ghost,marowak
132,Lightning RodRock Head,Marowak,99.2,Marowak,Grass Ice Water,105,39,marowak,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png,ground,marowak
133,LimberReckless,Hitmonlee,109.8,Hitmonlee,Flying Psychic Fairy,106,59,hitmonlee,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/106.png,fighting,hitmonlee
134,Iron FistKeen Eye,Hitmonchan,110.7,Hitmonchan,Flying Psychic Fairy,107,55,hitmonchan,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/107.png,fighting,hitmonchan
135,ObliviousOwn Tempo,Lickitung,144.4,Lickitung,Fighting,108,47,lickitung,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/108.png,normal,lickitung
136,Levitate,Koffing,2.2,Koffing,Psychic,109,24,koffing,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/109.png,poison,koffing
137,Levitate,Weezing,20.9,Weezing,Psychic,110,47,weezing,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/110.png,poison,weezing
138,Lightning RodRock Head,Rhyhorn,253.5,Rhyhorn,Grass Water Fighting Ground Ice Steel,111,39,rhyhorn,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/111.png,ground rock,rhyhorn
139,Lightning RodRock Head,Rhydon,264.6,Rhydon,Grass Water Fighting Ground Ice Steel,112,75,rhydon,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/112.png,ground rock,rhydon
140,Natural CureSerene Grace,Chansey,76.3,Chansey,Fighting,113,43,chansey,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/113.png,normal,chansey
141,ChlorophyllLeaf Guard,Tangela,77.2,Tangela,Bug Fire Flying Ice Poison,114,39,tangela,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/114.png,grass,tangela
142,Parental Bond,Kangaskhan,220.5,Kangaskhan,Fighting,115,87,kangaskhan,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png,normal,kangaskhan
143,Early BirdScrappy,Kangaskhan,176.4,Kangaskhan,Fighting,115,87,kangaskhan,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png,normal,kangaskhan
144,SniperSwift Swim,Horsea,17.6,Horsea,Electric Grass,116,16,horsea,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/116.png,water,horsea
145,Poison PointSniper,Seadra,55.1,Seadra,Electric Grass,117,47,seadra,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/117.png,water,seadra
146,Swift SwimWater Veil,Goldeen,33.1,Goldeen,Electric Grass,118,24,goldeen,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/118.png,water,goldeen
147,Swift SwimWater Veil,Seaking,86,Seaking,Electric Grass,119,51,seaking,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/119.png,water,seaking
148,IlluminateNatural Cure,Staryu,76.1,Staryu,Electric Grass,120,31,staryu,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/120.png,water,staryu
149,IlluminateNatural Cure,Starmie,176.4,Starmie,Bug Dark Electric Ghost Grass,121,43,starmie,TRUE,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/121.png,water psychic,starmie
